Ticker,Spinoff_Date,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Return_Percent
ACGP,2015-12-01,2016-02-29,24.47,2017-11-30,31.49,28.71
CSRA,2015-11-30,2016-02-28,25.17,2017-11-29,28.35,12.62
FCPT,2015-11-10,2016-02-08,9.12,2017-11-09,17.03,86.7
HPE,2015-11-02,2016-01-31,6.04,2017-11-01,10.5,73.68
MSGS,2015-10-01,2015-12-30,109.15,2017-09-30,146.19,33.94
CSW,2015-10-01,2015-12-30,35.44,2017-09-30,43.35,22.3
PJT,2015-10-01,2015-12-30,25.33,2017-09-30,35.1,38.58
LITE,2015-08-04,2015-11-02,14.8,2017-08-03,62.45,321.96
BNED,2015-08-03,2015-11-01,1420.0,2017-08-02,708.0,-50.14
PYPL,2015-07-20,2015-10-18,34.65,2017-07-19,58.04,67.48
BLD,2015-07-01,2015-09-29,30.0,2017-06-30,53.07,76.9
CABO,2015-07-01,2015-09-29,378.84,2017-06-30,642.29,69.54
ENR,2015-07-01,2015-09-29,27.7,2017-06-30,35.3,27.41
CC,2015-07-01,2015-09-29,4.41,2017-06-30,27.53,524.9
BW,2015-07-01,2015-09-29,165.5,2017-06-30,117.6,-28.94
TDAY,2015-06-29,2015-09-27,9.54,2017-06-28,10.28,7.8
TCRT,2015-06-09,2015-09-07,1386.0,2017-06-08,862.5,-37.77
FSV,2015-06-02,2015-08-31,29.64,2017-06-01,60.03,102.52
UNIT,2015-04-27,2015-07-26,14.68,2017-04-26,23.06,57.04
PZG,2015-04-20,2015-07-19,1.17,2017-04-19,1.71,46.15
NXRT,2015-04-01,2015-06-30,8.64,2017-03-31,17.03,97.19
XHR,2015-02-04,2015-05-05,14.15,2017-02-03,13.33,-5.77
UE,2015-01-16,2015-04-16,15.34,2017-01-15,19.42,26.6
INSW,2016-12-01,2017-03-01,11.31,2018-12-01,11.77,4.01
LW,2016-11-10,2017-02-08,33.77,2018-11-10,72.54,114.81
YUMC,2016-11-01,2017-01-30,25.17,2018-11-01,32.87,30.6
AA,2016-11-01,2017-01-30,34.8,2018-11-01,35.02,0.63
ADNT,2016-10-31,2017-01-29,62.47,2018-10-31,30.42,-51.31
DFIN,2016-10-03,2017-01-01,23.46,2018-10-03,17.64,-24.81
ASIX,2016-10-03,2017-01-01,19.79,2018-10-03,30.2,52.59
APVO,2016-08-01,2016-10-30,18133316.0,2018-08-01,35364068.0,95.02
FTV,2016-07-05,2016-10-03,31.16,2018-07-05,47.12,51.23
HRI,2016-07-01,2016-09-29,29.95,2018-07-01,50.52,68.68
ZDGE,2016-06-02,2016-08-31,4.39,2018-06-02,3.64,-17.04
NGVT,2016-05-16,2016-08-14,44.3,2018-05-16,82.85,87.02
ILG,2016-05-13,2016-08-11,16.72,2018-05-13,33.55,100.61
AFIIQ,2016-04-04,2016-07-03,16.64,2018-04-04,13.82,-16.95
RACE,2016-01-04,2016-04-03,37.61,2018-01-03,100.15,166.32
IMDX,2016-01-04,2016-04-03,121.4,2018-01-03,90.0,-25.86
CNR,2017-11-29,2018-02-27,29.67,2019-11-29,11.75,-60.38
HBB,2017-10-02,2017-12-31,21.15,2019-10-02,12.55,-40.66
