Ticker,Spinoff_Date,SEC_CIK,Return_Percent
ACGP,2015-12-01,0001642122,28.71
FCPT,2015-11-10,0001650132,86.7
MSGS,2015-10-01,0001636519,33.94
CSW,2015-10-01,0001624794,22.3
PJT,2015-10-01,0001626115,38.57
BLD,2015-07-01,0001633931,76.9
CABO,2015-07-01,0001632127,69.54
ENR,2015-07-01,0001632790,27.41
CC,2015-07-01,0001627223,524.9
TDAY,2015-06-29,0001579684,7.8
NXRT,2015-04-01,0001620393,97.19
XHR,2015-02-04,0001616000,-5.77
UE,2015-01-16,0001611547,26.6
LW,2016-11-10,0001679273,114.81
AA,2016-11-01,0001675149,0.63
ADNT,2016-10-31,0001670541,-51.31
DFIN,2016-10-03,0001669811,-24.81
ASIX,2016-10-03,0001673985,52.59
APVO,2016-08-01,0001671584,95.02
NGVT,2016-05-16,0001653477,87.02
IMDX,2016-01-04,0001642380,-25.86
CNR,2017-11-29,0001710366,-60.38
BHF,2017-08-07,0001685040,-38.35
JBGS,2017-07-18,0001689796,27.32
SMHI,2017-06-02,0001690334,7.34
CARS,2017-06-01,0001683606,-21.18
VREX,2017-01-30,0001681622,-17.68
AQB,2017-01-19,0001603978,-73.84
PK,2017-01-04,0001617406,16.56
HGV,2017-01-04,0001674168,-10.15
CNDT,2017-01-03,0001677703,-35.43
SER,2018-11-29,0001708599,-61.27
ACA,2018-11-01,0001739445,62.83
REZI,2018-10-29,0001740332,-51.9
FTDR,2018-10-01,0001727263,46.22
GTX,2018-10-01,0001735707,-72.04
KLXE,2018-09-17,0001738827,-95.94
AMTB,2018-08-29,0001734342,-10.38
NVT,2018-05-01,0001720635,-26.49
RDVT,2018-03-27,0001720116,93.59
CRNC,2019-10-02,0001768267,303.36
PNTG,2019-10-01,0001766400,-11.36
CTVA,2019-06-03,0001755672,66.62
KTB,2019-05-23,0001760965,103.3
CYCN,2019-04-02,0001755237,-71.74
DOW,2019-04-02,0001751788,42.66
FOX,2019-03-21,0001754301,18.45
FOXA,2019-03-21,0001754301,24.71
CNXC,2020-12-01,0001803599,-3.89
VNT,2020-10-09,0001786842,-49.73
LNSR,2020-10-02,0001320350,-28.97
AOUT,2020-08-25,0001808997,-41.66
SPHR,2020-04-20,0001795250,10.63
OTIS,2020-04-03,0001781335,38.51
CARR,2020-04-03,0001783180,100.7
MDIA,2020-01-07,0001784254,57.5
DOUG,2021-12-30,0001878897,-56.06
ONL,2021-11-15,0001873923,-65.53
KD,2021-11-04,0001867072,-5.89
CCSI,2021-10-08,0001866633,-55.64
SLVM,2021-10-01,0001856485,55.13
JXN,2021-09-20,0001822993,17.99
VSCO,2021-08-03,0001856437,-59.41
GXO,2021-08-02,0001852244,-28.79
NABL,2021-07-20,0001834488,10.24
DTM,2021-07-01,0001842022,18.65
OGN,2021-06-03,0001821825,-37.38
MBC,2022-12-15,0001941365,96.02
RXO,2022-11-01,0001929561,60.54
MPTI,2022-10-07,0001902314,394.32
BHM,2022-10-06,0001903382,-20.35
BHVN,2022-10-04,0001935979,245.56
XPER,2022-10-03,0001788999,0.34
FIP,2022-08-02,0001899883,286.52
ORBS,2022-06-30,0001892492,-98.7
ESAB,2022-04-05,0001877322,169.85
EMBC,2022-04-01,0001872789,-45.7
WS,2023-12-01,0001968487,12.01
NATL,2023-10-17,0001974138,67.53
VLTO,2023-10-02,0001967680,31.81
VSTS,2023-10-02,0001967649,-75.98
RENX,2023-09-28,0001959023,-93.78
PHIN,2023-07-05,0001968915,89.54
FTRE,2023-07-03,0001965040,-81.36
KNF,2023-06-01,0001955520,80.99
MSGE,2023-04-21,0001952073,-14.72
CR,2023-04-04,0001944013,67.25
STHO,2023-03-31,0001953366,-40.7
VTS,2023-01-17,0001944558,62.55
GEHC,2023-01-04,0001932393,-1.05
INBX,2024-05-30,0002007919,611.25
GEV,2024-04-02,0001996810,438.39
SOLV,2024-04-01,0001964738,25.07
